time,hex_id,num_vehicles,avg_speed,avg_sin,avg_cos,weather,label
2119,2_4,5,12.284,0.344301264812488,0.4008661587266964,1.0,1
2119,2_5,3,7.243333333333333,-0.2830376507248915,0.7520573039229134,1.0,1
2119,3_1,1,13.89,0.3926581709676751,0.9196844897965388,1.0,1
2119,3_2,5,11.112,0.11010339959842172,0.819995875351944,1.0,1
2119,3_4,11,10.34909090909091,0.1708951666615259,0.42129029871593937,1.0,3
2119,4_2,8,13.89,0.14347737096795182,-0.32334317770020266,1.0,2
2119,4_3,7,11.25,-0.3735176377828747,-0.09815164554778102,1.0,2
2119,4_4,8,11.606250000000001,0.39674231555307876,-0.01906939896594745,1.0,2
2119,4_5,1,0.0,0.3686113320303076,0.9295836088802568,1.0,1
2119,5_2,2,6.945,-0.37233693984402205,-0.9280889445805498,1.0,1
2119,5_3,4,12.2675,0.640993100305203,0.27386693694987363,1.0,1
2119,5_4,2,7.869999999999999,0.26626600709255666,-0.6413977140690316,1.0,1
2119,5_5,1,13.89,-0.08854660753622222,0.9960720346911794,1.0,1
2119,6_2,1,13.89,-0.9257386370898459,0.37816395359557287,1.0,1
2119,6_4,1,13.89,-0.9456321627174221,0.3252380863834538,1.0,1
2120,0_1,3,3.0733333333333337,-0.09444178892915711,-0.3119905140978669,1.0,1
2120,0_3,2,4.025,0.21151449324539756,-0.15748583231306168,1.0,1
2120,0_5,1,13.89,0.36552669494682904,0.9308008569405423,1.0,1
2120,1_1,5,13.728,0.703944573680625,0.1531092923202638,1.0,1
2120,1_2,1,4.97,-0.34889919921367296,-0.9371602577937552,1.0,1
2120,1_3,2,10.52,-0.28386762349527905,0.6509857449133041,1.0,1
2120,1_4,2,6.945,-0.9314373466128979,0.363901562909204,1.0,1
2120,1_5,1,13.89,-0.9986203851970865,-0.05251024917882802,1.0,1
2120,2_1,3,10.58,0.4925114287083869,0.848490791700669,1.0,1
2120,2_2,1,13.89,0.3671506913565977,0.9301614751409415,1.0,1
2120,2_3,7,5.708571428571429,0.22657509192079,0.21964471707372926,1.0,2
2120,2_4,6,10.641666666666667,0.3425831428244505,0.4219752642354733,1.0,2
2120,2_5,3,5.743333333333333,-0.2804825997783151,0.7515664287681915,1.0,1
2120,3_1,1,13.89,0.4154871756640993,0.9095990363114232,1.0,1
2120,3_2,5,11.112,0.11150103874877595,0.8194485686119837,1.0,1
2120,3_4,11,10.08090909090909,0.1708688498043685,0.42126652465366904,1.0,3
2120,4_2,9,13.89,0.08680613147073975,-0.39086983085535215,1.0,2
2120,4_3,7,10.85,-0.3221639207470574,-0.03647146315720768,1.0,2
